---- Page: "Statistics [Analog]"
---- Chart: electr_3_2_3.ewb
Parameter	Value
Initial TStep	0.00000
Initial TMax	0.00000
Nominal temperature	0.00000
Operating temperature	0.00000
Total iterations	0.00000
Transient iterations	0.00000
Circuit Equations	0.00000
Transient timepoints	0.00000
Accepted timepoints	0.00000
Rejected timepoints	0.00000
Total Analysis Time	0.00000
Transient time	0.00000
matrix reordering time	0.00000
L-U decomposition time	0.00000
Matrix solve time	0.00000
transient L-U decomp time	0.00000
Transient solve time	0.00000
Transient iters per point	0.00000
Load time	0.00000
---- End Chart: electr_3_2_3.ewb
---- End Page: "Statistics [Analog]"

---- Page: "Oscilloscope"
---- Graph: "electr_3_2_3.ewb"
---- Left Axis: LINEAR "Voltage (A)"
---- Right Axis: LINEAR "Voltage (B)"
---- Bottom Axis: LINEAR "Time (seconds)"
---- Trace: 1 LEFT BOTTOM "A trace"
0.000000000000e+000	1.630000000000e+001
1.000000000000e-014	1.597400000000e+001
2.000000000000e-014	1.564800000000e+001
4.000000000000e-014	1.499600000000e+001
8.000000000000e-014	1.369200000000e+001
1.600000000000e-013	1.108400000000e+001
3.200000000000e-013	5.868000000000e+000
6.400000000000e-013	-4.564000000000e+000
1.000000000000e-012	-1.630000000000e+001
1.064000000000e-012	-1.630000000000e+001
1.192000000000e-012	-1.630000000000e+001
1.448000000000e-012	-1.630000000000e+001
1.960000000000e-012	-1.630000000000e+001
2.984000000000e-012	-1.630000000000e+001
5.032000000000e-012	-1.630000000000e+001
9.128000000000e-012	-1.630000000000e+001
1.732000000000e-011	-1.630000000000e+001
3.370400000000e-011	-1.630000000000e+001
6.647200000000e-011	-1.630000000000e+001
1.320080000000e-010	-1.630000000000e+001
2.630800000000e-010	-1.630000000000e+001
3.874683386798e-010	-1.630000000000e+001
5.557037662257e-010	-1.630000000000e+001
8.921746213173e-010	-1.630000000000e+001
1.405018489642e-009	-1.630000000000e+001
1.985057122816e-009	-1.630000000000e+001
2.695206357818e-009	-1.630000000000e+001
3.680124671616e-009	-1.630000000000e+001
5.649961299212e-009	-1.630000000000e+001
8.704269550342e-009	-1.630000000000e+001
1.171962746909e-008	-1.630000000000e+001
1.471428863616e-008	-1.630000000000e+001
1.712474562499e-008	-1.630000000000e+001
