---- Page: "Statistics [Mixed Mode]"
---- Chart: Electr_9_2_3.ewb
Parameter	Value
Initial TStep	0.00000
Initial TMax	0.00000
Nominal temperature	0.00000
Operating temperature	0.00000
Total iterations	0.00000
Transient iterations	0.00000
Circuit Equations	0.00000
Transient timepoints	0.00000
Accepted timepoints	0.00000
Rejected timepoints	0.00000
Total Analysis Time	0.00000
Transient time	0.00000
matrix reordering time	0.00000
L-U decomposition time	0.00000
Matrix solve time	0.00000
transient L-U decomp time	0.00000
Transient solve time	0.00000
Transient iters per point	0.00000
Load time	0.00000
---- End Chart: Electr_9_2_3.ewb
---- End Page: "Statistics [Mixed Mode]"

---- Page: "Oscilloscope"
---- Graph: "Electr_9_2_3.ewb"
---- Left Axis: LINEAR "Voltage"
---- Bottom Axis: LINEAR "Time (seconds)"
---- Trace: 1 LEFT BOTTOM "A trace"
0.000000000000e+000	0.000000000000e+000
2.500000000000e-005	0.000000000000e+000
5.000000000000e-005	0.000000000000e+000
1.000000000000e-004	0.000000000000e+000
2.000000000000e-004	0.000000000000e+000
4.000000000000e-004	0.000000000000e+000
8.000000000000e-004	0.000000000000e+000
1.600000000000e-003	0.000000000000e+000
2.500000000000e-003	0.000000000000e+000
2.502500000000e-003	0.000000000000e+000
2.507500000000e-003	0.000000000000e+000
2.510159393685e-003	0.000000000000e+000
2.512736590742e-003	0.000000000000e+000
2.517000877543e-003	0.000000000000e+000
2.521173249812e-003	0.000000000000e+000
2.525000000000e-003	0.000000000000e+000
2.525594495219e-003	0.000000000000e+000
2.526783485658e-003	0.000000000000e+000
2.528367592658e-003	0.000000000000e+000
2.530052228679e-003	0.000000000000e+000
2.533421500723e-003	0.000000000000e+000
2.540160044810e-003	0.000000000000e+000
2.553637132984e-003	0.000000000000e+000
2.580591309331e-003	0.000000000000e+000
2.634499662026e-003	0.000000000000e+000
2.742316367416e-003	0.000000000000e+000
2.957949778197e-003	0.000000000000e+000
3.389216599758e-003	0.000000000000e+000
4.251750242880e-003	0.000000000000e+000
4.975000000000e-003	0.000000000000e+000
4.977500000000e-003	0.000000000000e+000
4.982500000000e-003	0.000000000000e+000
4.992500000000e-003	0.000000000000e+000
5.000000000000e-003	0.000000000000e+000
5.000300001589e-003	3.000015888557e-002
