---- Page: "Statistics [Analog]"
---- Chart: Electr_9_3_3.ewb
Parameter	Value
Initial TStep	0.00000
Initial TMax	0.00000
Nominal temperature	0.00000
Operating temperature	0.00000
Total iterations	0.00000
Transient iterations	0.00000
Circuit Equations	0.00000
Transient timepoints	0.00000
Accepted timepoints	0.00000
Rejected timepoints	0.00000
Total Analysis Time	0.00000
Transient time	0.00000
matrix reordering time	0.00000
L-U decomposition time	0.00000
Matrix solve time	0.00000
transient L-U decomp time	0.00000
Transient solve time	0.00000
Transient iters per point	0.00000
Load time	0.00000
---- End Chart: Electr_9_3_3.ewb
---- End Page: "Statistics [Analog]"

---- Page: "Oscilloscope"
---- Graph: "Electr_9_3_3.ewb"
---- Left Axis: LINEAR "Voltage"
---- Bottom Axis: LINEAR "Time (seconds)"
---- Trace: 1 LEFT BOTTOM "A trace"
0.000000000000e+000	0.000000000000e+000
2.500000000000e-005	0.000000000000e+000
5.000000000000e-005	0.000000000000e+000
1.000000000000e-004	0.000000000000e+000
2.000000000000e-004	0.000000000000e+000
4.000000000000e-004	0.000000000000e+000
8.000000000000e-004	0.000000000000e+000
1.600000000000e-003	0.000000000000e+000
2.500000000000e-003	0.000000000000e+000
2.502500000000e-003	0.000000000000e+000
2.507500000000e-003	0.000000000000e+000
2.513564840607e-003	0.000000000000e+000
2.517507534927e-003	0.000000000000e+000
2.521248767890e-003	0.000000000000e+000
2.525000000000e-003	0.000000000000e+000
2.525523755875e-003	0.000000000000e+000
2.526571267625e-003	0.000000000000e+000
2.528666291126e-003	0.000000000000e+000
2.532856338127e-003	0.000000000000e+000
2.541236432128e-003	0.000000000000e+000
2.557996620132e-003	0.000000000000e+000
2.591516996139e-003	0.000000000000e+000
2.658557748153e-003	0.000000000000e+000
2.792639252181e-003	0.000000000000e+000
3.060802260237e-003	0.000000000000e+000
3.597128276348e-003	0.000000000000e+000
4.669780308571e-003	0.000000000000e+000
4.975000000000e-003	0.000000000000e+000
4.977500000000e-003	0.000000000000e+000
4.982500000000e-003	0.000000000000e+000
4.989429837896e-003	0.000000000000e+000
4.996082987806e-003	0.000000000000e+000
4.998565386562e-003	0.000000000000e+000
5.000000000000e-003	0.000000000000e+000
5.000022372817e-003	2.237281710848e-003
