step,node_count,diameter,avg_diameter,degree,cost,traffic
1,9,3,1.75,4,14,0.875
2,18,5,2.764705882352941,5,29,1.1058823529411765
3,27,6,3.3076923076923075,6,44,1.1025641025641024
4,36,6,3.4857142857142858,6,60,1.161904761904762
5,45,7,3.809090909090909,7,75,1.0883116883116883
6,54,7,3.943396226415094,7,91,1.1266846361185983
7,63,8,4.207373271889401,7,106,1.2021066491112575
8,72,8,4.274647887323944,8,122,1.068661971830986
9,81,8,4.375,8,138,1.09375
10,90,9,4.586516853932585,8,153,1.1466292134831462
11,99,9,4.662337662337662,8,169,1.1655844155844155
12,108,9,4.757009345794392,8,185,1.189252336448598
