step,node_count,diameter,avg_diameter,degree,cost,traffic
1,9,3,1.75,4,14,0.875
2,18,5,2.764705882352941,5,29,1.1058823529411765
3,27,6,3.3076923076923075,6,44,1.1025641025641024
4,36,7,3.742857142857143,6,59,1.2476190476190476
5,45,8,4.136363636363637,6,74,1.378787878787879
6,54,9,4.509433962264151,6,89,1.5031446540880502
7,63,10,4.870967741935484,6,104,1.6236559139784947
8,72,11,5.225352112676056,6,119,1.7417840375586853
9,81,12,5.575,6,134,1.8583333333333334
10,90,13,5.921348314606742,6,149,1.9737827715355805
11,99,14,6.26530612244898,6,164,2.0884353741496597
12,108,15,6.607476635514018,6,179,2.202492211838006
