step,node_count,diameter,avg_diameter,degree,cost,traffic
1,9,3,1.75,4,14,0.875
2,18,5,2.764705882352941,5,29,1.1058823529411765
3,27,6,3.3076923076923075,6,44,1.1025641025641024
4,36,6,3.6142857142857143,7,59,1.0326530612244897
5,45,6,3.809090909090909,8,74,0.9522727272727273
6,54,6,3.943396226415094,9,89,0.8763102725366876
7,63,6,4.04147465437788,10,104,0.808294930875576
8,72,6,4.116197183098592,11,119,0.7483994878361077
9,81,6,4.175,12,134,0.6958333333333333
10,90,6,4.222471910112359,13,149,0.6496110630942091
11,99,6,4.261595547309833,14,164,0.6087993639014047
12,108,6,4.294392523364486,15,179,0.5725856697819315
