      n_{a1}    n_{b1}    n_{a2}    n_{b2}    n_{a3}    n_{b3}    n_{a4}    n_{b4}    n_{a5}    n_{b5}    n_{a6}    n_{b6}    n_{a7}    n_{b7}    n_{a8}    n_{b8}    = x
--  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  -----
 0        -1     0             1         0         0      0            0         1         0      0            0      0            0         1      0.03         0     -1
 1         1    -1             0         0         0      0            0         0         0      0            0      0            0         0      0            0      0
 2         0     0            -1         1         0      0            0         0         0      0            0      0            0         0      0            0      0
 3         0     0             0        -1         0      0.05         0         0         0      0            0      0            0         0      0            0      0
 4         0     0.1           0         0        -1      0            0         0         0      0            0      0            0         0      0            0      0
 5         0     0             0         0         1     -1            0         0         0      0            0      0            0         0      0            0      0
 6         0     0.225         0         0         0      0           -1         0         0      0            0      0            0         0      0            0      0
 7         0     0             0         0         0      0            0        -1         0      0            1      0            0         0      0            0      0
 8         0     0.675         0         0         0      0            0         0        -1      0            0      0            0         0      0            0      0
 9         0     0             0         0         0      0            1         0         0     -1            0      0            0         0      0            0      0
10         0     0             0         0         0      0            0         0         0      0.75        -1      0.75         0         0      0            0      0
11         0     0             0         0         0      0            0         0         1      0            0     -1            0         0      0            0      0
12         0     0             0         0         0      0.95         0         0         0      0            0      0           -1         0      0            0      0
13         0     0             0         0         0      0            0         0         0      0            0      0            1        -1      0            0      0
14         0     0             0         0         0      0            0         0         0      0            0      0            0         0     -1            1      0
15         0     0             0         0         0      0            0         0         0      0.25         0      0.25         0         0      0           -1      0
