f(x)=(3.4480077*10^(-14))*x^4-(7.2434569*10^(-11))*x^3-(2.056605*10^(-6))*x^2+0.012847*x+2.1265754

x                  f(x)               
0                  2.1265754          
2                  2.1522612          
4                  2.1779305          
6                  2.2035833          
8                  2.2292197          
10                 2.2548397          
12                 2.2804431          
14                 2.3060301          
16                 2.3316006          
18                 2.3571546          
20                 2.3826922          
22                 2.4082132          
24                 2.4337178          
26                 2.4592059          
28                 2.4846775          
30                 2.5101325          
32                 2.5355711          
34                 2.5609932          
36                 2.5863987          
38                 2.6117878          
40                 2.6371603          
42                 2.6625163          
44                 2.6878558          
46                 2.7131787          
48                 2.7384852          
50                 2.763775           
52                 2.7890484          
54                 2.8143052          
56                 2.8395455          
58                 2.8647692          
60                 2.8899764          
62                 2.9151671          
64                 2.9403411          
66                 2.9654987          
68                 2.9906396          
70                 3.015764           
72                 3.0408719          
74                 3.0659631          
76                 3.0910378          
78                 3.1160959          
80                 3.1411375          
82                 3.1661624          
84                 3.1911708          
86                 3.2161626          
88                 3.2411378          
90                 3.2660964          
92                 3.2910384          
94                 3.3159638          
96                 3.3408726          
98                 3.3657648          
100                3.3906404          
102                3.4154993          
104                3.4403417          
106                3.4651675          
108                3.4899766          
110                3.5147691          
112                3.539545           
114                3.5643043          
116                3.5890469          
118                3.6137729          
120                3.6384823          
122                3.663175           
124                3.6878511          
126                3.7125105          
128                3.7371533          
130                3.7617795          
132                3.786389           
134                3.8109818          
136                3.835558           
138                3.8601176          
140                3.8846604          
142                3.9091866          
144                3.9336962          
146                3.958189           
148                3.9826652          
150                4.0071248          
152                4.0315676          
154                4.0559938          
156                4.0804033          
158                4.1047961          
160                4.1291722          
162                4.1535316          
164                4.1778744          
166                4.2022004          
168                4.2265098          
170                4.2508024          
172                4.2750784          
174                4.2993376          
176                4.3235802          
178                4.347806           
180                4.3720152          
182                4.3962076          
184                4.4203833          
186                4.4445423          
188                4.4686845          
190                4.4928101          
192                4.5169189          
194                4.541011           
196                4.5650863          
198                4.589145           
200                4.6131869          
202                4.6372121          
204                4.6612205          
206                4.6852122          
208                4.7091871          
210                4.7331454          
212                4.7570868          
214                4.7810115          
216                4.8049195          
218                4.8288107          
220                4.8526852          
222                4.8765429          
224                4.9003839          
226                4.9242081          
228                4.9480155          
230                4.9718062          
232                4.9955801          
234                5.0193372          
236                5.0430776          
238                5.0668012          
240                5.090508           
242                5.1141981          
244                5.1378713          
246                5.1615278          
248                5.1851676          
250                5.2087905          
252                5.2323966          
254                5.255986           
256                5.2795586          
258                5.3031144          
260                5.3266534          
262                5.3501756          
264                5.373681           
266                5.3971696          
268                5.4206414          
270                5.4440964          
272                5.4675346          
274                5.490956           
276                5.5143606          
278                5.5377484          
280                5.5611194          
282                5.5844736          
284                5.607811           
286                5.6311315          
288                5.6544353          
290                5.6777222          
292                5.7009923          
294                5.7242456          
296                5.747482           
298                5.7707017          
300                5.7939045          
302                5.8170905          
304                5.8402597          
306                5.863412           
308                5.8865475          
310                5.9096662          
312                5.932768           
314                5.955853           
316                5.9789212          
318                6.0019726          
320                6.0250071          
322                6.0480247          
324                6.0710255          
326                6.0940095          
328                6.1169767          
330                6.1399269          
332                6.1628604          
334                6.185777           
336                6.2086767          
