---- Page: "Statistics [Analog]"
---- Chart: electr_3_1_3.ewb
Parameter	Value
Initial TStep	125.00000n
Initial TMax	250.00000n
Nominal temperature	27.00000
Operating temperature	27.00000
Total iterations	9.96700K
Transient iterations	9.95000K
Circuit Equations	21.00000
Transient timepoints	3.64000K
Accepted timepoints	3.39900K
Rejected timepoints	241.00000
Total Analysis Time	203.00000m
Transient time	202.00000m
matrix reordering time	0.00000
L-U decomposition time	6.00000m
Matrix solve time	8.00000m
transient L-U decomp time	6.00000m
Transient solve time	8.00000m
Transient iters per point	0.00000
Load time	17.00000m
---- End Chart: electr_3_1_3.ewb
---- End Page: "Statistics [Analog]"

---- Page: "Oscilloscope"
---- Graph: "electr_3_1_3.ewb"
---- Left Axis: LINEAR "Voltage"
---- Bottom Axis: LINEAR "Time (seconds)"
---- Trace: 1 LEFT BOTTOM "A trace"
0.000000000000e+000	-1.500000000000e+000
1.000000000000e-014	-1.470000000000e+000
2.000000000000e-014	-1.440000000000e+000
4.000000000000e-014	-1.380000000000e+000
8.000000000000e-014	-1.260000000000e+000
1.600000000000e-013	-1.020000000000e+000
3.200000000000e-013	-5.400000000000e-001
6.400000000000e-013	4.200000000000e-001
1.000000000000e-012	1.500000000000e+000
1.064000000000e-012	1.500000000000e+000
1.192000000000e-012	1.500000000000e+000
1.448000000000e-012	1.500000000000e+000
1.960000000000e-012	1.500000000000e+000
2.984000000000e-012	1.500000000000e+000
5.032000000000e-012	1.500000000000e+000
9.128000000000e-012	1.500000000000e+000
1.732000000000e-011	1.500000000000e+000
3.370400000000e-011	1.500000000000e+000
6.647200000000e-011	1.500000000000e+000
1.320080000000e-010	1.500000000000e+000
2.630800000000e-010	1.500000000000e+000
5.252240000000e-010	1.500000000000e+000
8.753904176570e-010	1.500000000000e+000
1.276261848242e-009	1.500000000000e+000
1.948741207989e-009	1.500000000000e+000
3.293699927481e-009	1.500000000000e+000
5.254764094044e-009	1.500000000000e+000
7.831324261060e-009	1.500000000000e+000
1.194740651392e-008	1.500000000000e+000
1.828166844761e-008	1.500000000000e+000
2.541270906360e-008	1.500000000000e+000
3.271406936408e-008	1.500000000000e+000
4.586514400067e-008	1.500000000000e+000
5.930621167682e-008	1.500000000000e+000
8.618834702913e-008	1.500000000000e+000
1.111719098991e-007	1.500000000000e+000
1.611390356392e-007	1.500000000000e+000
2.364910978258e-007	1.500000000000e+000
3.739403580138e-007	1.500000000000e+000
5.000010000000e-007	1.499999999917e+000
5.000011000000e-007	1.199999999782e+000
5.000013000000e-007	5.999999998288e-001
5.000017000000e-007	-6.000000000773e-001
5.000020000000e-007	-1.499999999848e+000
5.000020800000e-007	-1.500000000000e+000
5.000022400000e-007	-1.500000000000e+000
5.000025600000e-007	-1.500000000000e+000
5.000032000000e-007	-1.500000000000e+000
5.000044800000e-007	-1.500000000000e+000
5.000070400000e-007	-1.500000000000e+000
5.000121600000e-007	-1.500000000000e+000
5.000224000000e-007	-1.500000000000e+000
5.000428800000e-007	-1.500000000000e+000
5.000838400000e-007	-1.500000000000e+000
5.001657600000e-007	-1.500000000000e+000
5.003296000000e-007	-1.500000000000e+000
5.006572799999e-007	-1.500000000000e+000
5.013126399999e-007	-1.500000000000e+000
5.023039332263e-007	-1.500000000000e+000
5.036720308553e-007	-1.500000000000e+000
5.058566735750e-007	-1.500000000000e+000
5.078517181382e-007	-1.500000000000e+000
5.093233803524e-007	-1.500000000000e+000
5.107873554709e-007	-1.500000000000e+000
5.121126244180e-007	-1.500000000000e+000
5.137558771373e-007	-1.500000000000e+000
5.156175756052e-007	-1.500000000000e+000
5.193409725408e-007	-1.500000000000e+000
5.244936945259e-007	-1.500000000000e+000
5.347991384961e-007	-1.500000000000e+000
