---- Page: "Statistics [Analog]"
---- Chart: electr_3_2_3.ewb
Parameter	Value
Initial TStep	0.00000
Initial TMax	0.00000
Nominal temperature	0.00000
Operating temperature	0.00000
Total iterations	0.00000
Transient iterations	0.00000
Circuit Equations	0.00000
Transient timepoints	0.00000
Accepted timepoints	0.00000
Rejected timepoints	0.00000
Total Analysis Time	0.00000
Transient time	0.00000
matrix reordering time	0.00000
L-U decomposition time	0.00000
Matrix solve time	0.00000
transient L-U decomp time	0.00000
Transient solve time	0.00000
Transient iters per point	0.00000
Load time	0.00000
---- End Chart: electr_3_2_3.ewb
---- End Page: "Statistics [Analog]"

---- Page: "Oscilloscope"
---- Graph: "electr_3_2_3.ewb"
---- Left Axis: LINEAR "Voltage (A)"
---- Right Axis: LINEAR "Voltage (B)"
---- Bottom Axis: LINEAR "Time (seconds)"
---- Trace: 1 LEFT BOTTOM "A trace"
0.000000000000e+000	1.630000000000e+001
1.000000000000e-014	1.597400000000e+001
2.000000000000e-014	1.564800000000e+001
4.000000000000e-014	1.499600000000e+001
8.000000000000e-014	1.369200000000e+001
1.600000000000e-013	1.108400000000e+001
3.200000000000e-013	5.868000000000e+000
6.400000000000e-013	-4.564000000000e+000
1.000000000000e-012	-1.630000000000e+001
1.064000000000e-012	-1.630000000000e+001
1.192000000000e-012	-1.630000000000e+001
1.448000000000e-012	-1.630000000000e+001
1.960000000000e-012	-1.630000000000e+001
2.984000000000e-012	-1.630000000000e+001
5.032000000000e-012	-1.630000000000e+001
9.128000000000e-012	-1.630000000000e+001
1.732000000000e-011	-1.630000000000e+001
3.370400000000e-011	-1.630000000000e+001
6.647200000000e-011	-1.630000000000e+001
1.320080000000e-010	-1.630000000000e+001
2.630800000000e-010	-1.630000000000e+001
3.874683386798e-010	-1.630000000000e+001
5.556300893307e-010	-1.630000000000e+001
8.919535906326e-010	-1.630000000000e+001
1.201952082009e-009	-1.630000000000e+001
1.584328672014e-009	-1.630000000000e+001
2.001974295121e-009	-1.630000000000e+001
2.621273643883e-009	-1.630000000000e+001
3.252828278897e-009	-1.630000000000e+001
4.515503356881e-009	-1.630000000000e+001
7.040853512851e-009	-1.630000000000e+001
1.209155382479e-008	-1.630000000000e+001
2.219295444867e-008	-1.630000000000e+001
