---- Page: "Statistics [Mixed Mode]"
---- Chart: Electr_9_4_3.ewb
Parameter	Value
Initial TStep	0.00000
Initial TMax	0.00000
Nominal temperature	0.00000
Operating temperature	0.00000
Total iterations	0.00000
Transient iterations	0.00000
Circuit Equations	0.00000
Transient timepoints	0.00000
Accepted timepoints	0.00000
Rejected timepoints	0.00000
Total Analysis Time	0.00000
Transient time	0.00000
matrix reordering time	0.00000
L-U decomposition time	0.00000
Matrix solve time	0.00000
transient L-U decomp time	0.00000
Transient solve time	0.00000
Transient iters per point	0.00000
Load time	0.00000
---- End Chart: Electr_9_4_3.ewb
---- End Page: "Statistics [Mixed Mode]"

---- Page: "Oscilloscope"
---- Graph: "Electr_9_4_3.ewb"
---- Left Axis: LINEAR "Voltage"
---- Bottom Axis: LINEAR "Time (seconds)"
---- Trace: 1 LEFT BOTTOM "A trace"
0.000000000000e+000	0.000000000000e+000
2.500000000000e-005	0.000000000000e+000
2.501000000000e-005	0.000000000000e+000
2.501010000000e-005	0.000000000000e+000
2.502010000000e-005	0.000000000000e+000
5.002010000000e-005	0.000000000000e+000
1.000201000000e-004	0.000000000000e+000
2.000201000000e-004	0.000000000000e+000
4.000201000000e-004	0.000000000000e+000
8.000201000000e-004	0.000000000000e+000
1.600020100000e-003	0.000000000000e+000
2.500000000000e-003	0.000000000000e+000
2.502500000000e-003	0.000000000000e+000
2.507500000000e-003	0.000000000000e+000
2.510158538171e-003	0.000000000000e+000
2.512735634375e-003	0.000000000000e+000
2.516999114111e-003	0.000000000000e+000
2.521174372188e-003	0.000000000000e+000
2.525000000000e-003	0.000000000000e+000
2.525599007819e-003	0.000000000000e+000
2.526797023456e-003	0.000000000000e+000
2.528394982090e-003	0.000000000000e+000
2.530092188382e-003	0.000000000000e+000
2.533486600966e-003	0.000000000000e+000
2.540275426134e-003	0.000000000000e+000
2.553853076470e-003	0.000000000000e+000
2.581008377142e-003	0.000000000000e+000
2.635318978486e-003	0.000000000000e+000
2.743940181173e-003	0.000000000000e+000
2.961182586548e-003	0.000000000000e+000
3.395667397298e-003	0.000000000000e+000
4.264637018798e-003	0.000000000000e+000
4.975000000000e-003	0.000000000000e+000
4.977500000000e-003	0.000000000000e+000
4.982500000000e-003	0.000000000000e+000
