---- Page: "Statistics [Mixed Mode]"
---- Chart: Electr_9_4_3.ewb
Parameter	Value
Initial TStep	0.00000
Initial TMax	0.00000
Nominal temperature	0.00000
Operating temperature	0.00000
Total iterations	0.00000
Transient iterations	0.00000
Circuit Equations	0.00000
Transient timepoints	0.00000
Accepted timepoints	0.00000
Rejected timepoints	0.00000
Total Analysis Time	0.00000
Transient time	0.00000
matrix reordering time	0.00000
L-U decomposition time	0.00000
Matrix solve time	0.00000
transient L-U decomp time	0.00000
Transient solve time	0.00000
Transient iters per point	0.00000
Load time	0.00000
---- End Chart: Electr_9_4_3.ewb
---- End Page: "Statistics [Mixed Mode]"

---- Page: "Oscilloscope"
---- Graph: "Electr_9_4_3.ewb"
---- Left Axis: LINEAR "Voltage"
---- Bottom Axis: LINEAR "Time (seconds)"
---- Trace: 1 LEFT BOTTOM "A trace"
0.000000000000e+000	0.000000000000e+000
2.502010000000e-006	0.000000000000e+000
2.512010000000e-006	0.000000000000e+000
2.512110000000e-006	0.000000000000e+000
2.522110000000e-006	0.000000000000e+000
5.024120000000e-006	0.000000000000e+000
1.002814000000e-005	0.000000000000e+000
2.003618000000e-005	0.000000000000e+000
4.005226000000e-005	0.000000000000e+000
8.008442000000e-005	0.000000000000e+000
1.601487400000e-004	0.000000000000e+000
3.202773800000e-004	0.000000000000e+000
6.405346600000e-004	0.000000000000e+000
1.281049220000e-003	0.000000000000e+000
2.500000000000e-003	0.000000000000e+000
2.502500000000e-003	0.000000000000e+000
2.507500000000e-003	0.000000000000e+000
2.510158538181e-003	0.000000000000e+000
2.512735634400e-003	0.000000000000e+000
2.516999114483e-003	0.000000000000e+000
2.521174373000e-003	0.000000000000e+000
2.525000000000e-003	0.000000000000e+000
2.525599007911e-003	0.000000000000e+000
2.526797023732e-003	0.000000000000e+000
2.528394982863e-003	0.000000000000e+000
2.530092189589e-003	0.000000000000e+000
2.533486603043e-003	0.000000000000e+000
2.540275429949e-003	0.000000000000e+000
2.553853083761e-003	0.000000000000e+000
2.581008391386e-003	0.000000000000e+000
2.635319006636e-003	0.000000000000e+000
2.743940237135e-003	0.000000000000e+000
2.961182698133e-003	0.000000000000e+000
3.395667620130e-003	0.000000000000e+000
4.264637464124e-003	0.000000000000e+000
